stop_name,latitude,longitude
Biscuit Factory,,
Bismillah Hotel,24.8816419,67.0991403
Bismillah Stop,24.832085,67.1444614
Bismillah hotel,24.8664136,67.0228977
Bleak House Road,24.8446227,67.0373914
Bleak house Road,24.8446227,67.0373914
Blouton Market,,
Boad Basin,,
Boad Office,,
Board Basin,,
Board Office,24.9128333,67.0455094
Board office,24.9128333,67.0455094
Board office Chowrangi,,
Boat Basin,24.821449,67.0183042
Boat Basin Chowragni,,
Bolton Market,24.8523586,67.0022597
Boulton Market,,
Bridge,24.8555946,67.2111896
Britte Road,,
Buffallow Colony Landhi,,
Buffer Zone,24.9552547,67.0670153
Buffer Zone Sector 16-A,24.9618053,67.0715893
Bufferzone,24.9576415,67.0733113
Bughdadi Agra Taj,,
Bukhari Bijari Bhatti,,
Bund Murad Khan,,
Bundar Road,,
Bunder Road,,
Buns Road,,
Burmi Colony,,
Burns Road,24.8580783,67.015028
Bus stop No 5,,
Buscuit Factory,,
C.M.H Picaddily Cinema Chowk,,
C.O.D Road,,
CLifton Casino,,
Cafe Liberty,,
Cafe Nawabad,24.8586157,66.9914822
Cafe liberty,,
Camra Chowrangi,,
Cannt. Station,,
Cantt,24.9519357,67.2262313
Cantt Bazar,24.9263658,67.2036763
Cantt Post office,24.8437136,67.037373
Cantt Railway Station,24.9519357,67.2262313
Cantt Station,24.9519357,67.2262313
Cantt Station http://adiekhan.blogspot.com/2009/01/karachi-bus-routes_24.html,,
Cantt Stations,24.9519357,67.2262313
Cantt. Public School,24.7998264,66.9657124
Cantt. Station,24.9519357,67.2262313
Capri Cinema,24.8682103,67.0289055
Carela mor,,
Cattel Colony,,
Cattle Colony,24.9141243,67.0735149
Cement Factory,24.9077425,67.0980091
Ch. Khaliquzzaman Road,,
Chaghi,,
Chakiwara,24.8699001,66.999793
Chakiwra,,
Chaliwara,,
Chaman Colony,24.9350013,67.1406917
Chamra Chourangi,,
Chamra Chowrangi,,
Chamra Colony,,
Chand Bibi Road,24.8618739,67.0141098
Chandbibi Road,,
Chandni Chowk,24.9215078,67.0214054
Channasar Goth,,
Charai nala,,
Chaukandi,24.8635508,67.2713543
Chawal Godown,,
Cheelawala kothi khalid bin walid Road,,
Cheta gate,,
Chiragh Hotel,24.8370005,67.1801744
Chisti Nagar,24.9638468,66.9738928
Chota Gate,,
Chota Maidan,,
Chowrangi No. 2,24.8820534,67.1514074
Chungi Naka,,
Cinema Chowk,,
City Court,24.8559541,67.0057203
City Garden,25.0486743,67.1411718
City P.O Burns Road,,
City Post Office,24.8776783,67.1925024
City Station,24.7800202,67.0870139
Civic Centre,,
Civil Hospital,24.8593607,67.0103185
Civil Lines,24.844097,67.0334903
Civil hospital,24.8593607,67.0103185
Clayton Road,24.8763833,67.0330675
Clifton,24.8190552,67.0262397
Clifton 26 street,24.804047,67.0386922
Clifton Bridge,24.8404753,67.0327685
Clifton Road,24.8245283,67.0383318
Clifton bridge,24.8404753,67.0327685
Coast Gard,,
Coast Guards,24.8685349,67.0253111
Coast guard,24.868898,67.0258948
College Chowrangi,24.9480102,67.0403849
Colony Gate,24.88711,67.1501422
Corongi Road,,
Corporation,24.8909405,67.0590738
Corporation Gate,,
Cost Guard,,
Country club Road,24.8322669,67.3461577
Court Road,24.857426,67.0191017
Cowie Road,,
Cross Frere Road,,
Crown Cinema,24.8641858,66.9864681
Custom House,24.8480911,66.992605
Custom Road,24.8480911,66.992605
Custom house,24.8483714,66.9924456
D.C Office,,
D.K Mour,,
D.turn Kala school No 2,,
D.turn sindhi hotel,,
Dabba Colony,24.9605668,66.9840721
Dabba Mour,,
Dabba mor,,
Dada Bhai Nooroji Road,,
Daily Jung Office,,
Daily Jung Ofice,,
Dairy Farm Model Colony,24.8394175,67.2532666
Dak Khana,24.9001295,67.2094412
Dak khana,24.9001295,67.2094412
Dalimia Cement Factory,,
Dalimia Cement Factory Road,,
Dalimia cement factory Road,,
Dalmia,24.9077425,67.0980091
Dalmia Cement Colony,24.9077425,67.0980091
Dalmia Chowrangi,,
Dalmia cement factory,24.9045726,67.1066776
Damloti No. 3,,
Damloti No. 6,,
Dangerai Road,,
Dar-ul-Ulum,24.8726606,67.0459435
Darakshan,24.9897425,67.1254788
Darsana Chana,,
Darul-uloom,24.875718,67.1355602
Daryabad,24.8622485,66.9911979
Dastagir,24.9283092,67.0782597
Dastagir Colony,24.9222845,66.9793518
Dastagir No. 16,24.9283092,67.0782597
Dastagir No. 9,24.9283092,67.0782597
Data Chowk Orangi Town,,
Dawood Chorangi,24.8503838,67.2071912
Dawood Chourangi,,
Dawood Chowrangi,24.850002,67.2073053
Dawood Mills,24.8415035,67.2169367
Dawood Pota Road,,
Defence,24.8328496,67.0630248
Defence More,,
Defence Mour,,
Defence Society,24.933288,67.1779893
Defence View,24.83483,67.0760721
Defence society,24.933288,67.1779893
Degree College,24.9238689,67.2022581
Dehangir Road,,
Dehli Colony,24.8319055,67.0431537
Dehli Saudagar Colony,,
Dehli society,24.9784878,67.1196603
Delhi Colony,24.8323033,67.0440311
Denfence Mour,,
Dens Hall,,
Denso Hall,24.8534466,67.0049098
Dhabi Bux Goth,,
Dhani Bux Goth,24.9232629,67.1556354
Dhobi Ghat,24.8764385,67.0120542
Dhobi ghat,24.8764385,67.0120542
Dhoraji,24.9375016,67.1752589
Dhoraji Colony,24.8872871,67.0770287
Dhoraji Society,24.9375016,67.1752589
Dhoraji society,24.9375016,67.1752589
Direct Bunder Road,,
Directorate Of School Road,,
Dirigh Road,,
Disco Bakery,24.929117,67.097339
Disco Chowk,,
Disco Mor,,
Disco Mour,,
Disko Mour,,
Do Minute Chowrangi,,
Dock Yard,24.830125,67.2937025
Dockyard,24.8332995,66.9719249
Doctor Dawood Pota Road,,
Dond Goth,,
Dowood Chowrangi,,
Dowood Pota Road,,
Dowwd Pota Road,,
Dr,24.8546842,67.0207055
Dr. Dowood pota Road,,
Dr. Zia-uddin Road,,
Dr. Ziauddin Ahmed Road,,
Dr. Ziauddin Hospital,24.817013,67.0067409
Dr. dawood pota Road,,
Drigh Colony No. 1,24.8843716,67.1283876
Drigh Colony No. 2,24.8843716,67.1283876
Drigh Colony No. 5,24.8843716,67.1283876
Drigh Colony Sector No 3,,
Drigh Colony sector No 3,,
Drigh Road,24.8863153,67.1261891
Drigh Road Station,24.8863153,67.1261891
Drive-In,24.9023146,67.1120122
Drive-in-cinema,,
Driven Cinema,,
Dubba Colony,,
Eid Gah,24.9148471,66.9708766
Eidgah,24.8591266,67.0138917
Empress Market,24.8620983,67.0294872
End of Sector 4 Baldia Town,,
Enquiry office,24.9071447,67.0323287
Enrollment Road,,
Erum Shopping Centre,,
Essa nagari,24.90253,67.0663842
Estate avenue,24.8900906,66.9842832
Exhibition,24.8760053,67.02348
Extension Malir City Petrol Pump,,
Eye Hospital,24.9264816,67.0957832
F.B Area,24.937149,67.0876128
F.T.C,,
FLeet Club,24.8570439,67.0343326
FTC,24.8590985,67.0495613
Faisal Road,24.8700183,67.0878386
Faizabad Sector 4-A,,
Faizabad Sector 7-A,,
Faizabad Sector 7-B,,
Faqir Colony,24.9221698,66.9645285
Faqir Mohammad Durra Khan Road,,
FaqirColony,,
Faquir Colony,,
Faran Centre,,
Fareed Colony,24.9364701,66.9806566
Farid Colony,24.9195613,67.0875179
Farooq Mills,,
Fatimah Jinnah Road,,
Fazal Mills,24.84714,67.1713711
Federal B. Area,24.9256493,67.0689573
Fedral B. Area,24.9176913,67.0634425
Fedral B. Area Block-H Chowrangi,,
Fedrel B. Area,,
Ferer Road,,
Filter Plant,24.8972686,67.1152662
Firdous Colony,24.8962158,67.0341652
First Chowrangi,,
Fish Harbour,24.8012067,67.2013957
Fisheries,24.8053713,67.202061
Fishri,,
Fishries,,
Five star,24.816351,67.0299557
Five star Chowrangi,,
Fleet CLub,24.8570439,67.0343326
Fleet Club,24.8570439,67.0343326
Fleet Club Shahrah-e-Iraq,,
Frere Hall,24.8475202,67.0330882
Frere Road,24.857678,67.0312036
Frere Street,24.857678,67.0312036
Fresco Chowk,24.8901591,67.0776219
Fronteir Colony,,
Frontier Colony,24.9291862,67.0055184
Frontier Mor,,
Frontier More,,
Frontier Mour,,
Frontier mor,,
Future Colony,24.8582339,67.1968502
Fuwara Chowk,,
G Alana Road,,
G. Allana Road,24.8481332,66.995351
G.Allana Road,24.8481332,66.995351
GUkshan-e- Behar,,
GUlbai,24.8765871,66.969813
GUlistan-e-Jouhar,24.9311811,67.1570819
Gabol Goth,24.9756495,67.145934
Gabol Town,24.9662573,67.0874563
Gadap,25.0721339,67.1236241
Gadap Goth,25.0118453,67.0227421
Gaddafi Town,,
Gandhi Chowk,,
Gandhi Garden,,
Garden,24.8819943,67.0309179
Garden Bara Board,,
Garden Road,24.880649,67.0231837
Gareebabad,,
Geedar Colony,,
General motors,24.8842602,66.9938678
Geram-ka-Goth,,
Ghani Chowk,,
Ghani Chowrangi,24.894223,66.9895923
Ghareebabad,,
Gharibabad,24.9088666,67.0572828
Ghas Bunder,,
Ghas Mandi,24.9449948,67.0680422
Ghas Mandir,,
Ghazi Salahuddin Road,24.8763921,67.0871101
Ghodra No.7,,
Ghouspak,,
Gizri,24.8175311,67.0458706
Godhra,25.0197567,67.0885004
Godhra Camp,,
Godhra Chowk,,
Godhra camp,,
Godown Chowrangi,,
Goharabad,24.923929,67.0785772
Golden City,24.963969,67.135248
Goli Maar,,
Goli Maar Chowrangi,,
Golimar,24.8926609,67.0274263
Golimar Chowrangi,24.9020224,67.0306873
Golimar No 1,24.8926609,67.0274263
Golimar No 2,24.8926609,67.0274263
Gora Kabristan,,
Gora Qabristan,24.8552148,67.0503499
Gora Qabrtustan,,
Gora Qabrustan,,
Goro Mandir,,
Goro Qabrustan,,
Goru Mandir,,
Gosia Chowk,24.8825963,67.1884899
Gr,24.8581115,67.0245412
Grace Colony,24.902865,66.9741027
Grace Mauripur,,
Graveyard No 7-1/2,,
Grazy Colony,,
Gujarnala,,
Gujjar Nala,24.9254787,67.0497235
Gujjar nala,24.9254787,67.0497235
Gul Ahmed,24.8842788,67.0811297
Gul Ahmed Mills,24.8453217,67.2152633
Gul Ahmed Textile Mills,24.8388225,67.2196912
Gul City,24.9820338,67.2019329
Gul Mohammad Chowrangi,,
Gulashan-e-Hadeed,,
Gulba,,
Gulbahar,24.8961404,67.0257302
Gulbai,24.8765871,66.969813
Gulbai Chowk,,
Gulbehar Chowrangi,,
Gulberg,24.9325432,67.0705588
Gulberg Chowrangi,24.942086,67.0710369
Gulberg Colony,24.9233032,67.0591838
Gulberg Textile Chowrangi,,
Gulberg Textile Mill,,
Gulistan-e- Jauhar Block 18,24.9240162,67.1382134
Gulistan-e-Jauhar,24.9240162,67.1382134
Gulistan-e-Jauhar Block 17,24.9240162,67.1382134
Gulistan-e-Jauher,,
Gulistan-e-Johar,24.9093636,67.1084783
Gulistan-e-Jouhar,24.9311811,67.1570819
Gulistan-e-johar,24.9093636,67.1084783
Gulistan-e-johar No. 10,24.9218341,67.1307899
Gulshan,24.8976976,67.0663342
Gulshan Chorangi,,
Gulshan Chowrangi,24.9246131,67.0912849
Gulshan Complex,24.8698102,67.0947496
Gulshan Ghazi,24.9125157,67.0919756
Gulshan Thana,,
Gulshan umair,24.9397541,67.1670945
Gulshan- e-Ghazi,24.923948,66.9793321
Gulshan-e- Iqbal,24.9067294,67.0986573
Gulshan-e- Maymar,25.020894,67.1322813
Gulshan-e-Bahar,24.9715756,66.9925217
Gulshan-e-Behar,,
Gulshan-e-Bihar,24.8875579,67.0503208
Gulshan-e-Farooq,24.9661433,67.0495724
Gulshan-e-Farooq 7-D Qabrustan,,
Gulshan-e-Ghazi,24.923948,66.9793321
Gulshan-e-Hadeed,24.8699988,67.3600518
Gulshan-e-Hadeed Phase 1 and Phase 2,,
Gulshan-e-Hadeed Phase 3,24.8787296,67.3699986
Gulshan-e-Hadeed Phase I,,
Gulshan-e-Hadeed Phase II,,
Gulshan-e-Hadeed Phase III,,
Gulshan-e-Hadid,,
Gulshan-e-Iqbal,24.9067294,67.0986573
Gulshan-e-Iqbal 13-D-2,24.9067294,67.0986573
Gulshan-e-Iqbal Block 5 Chowrangi,24.9255868,67.09278
Gulshan-e-Iqbal Block No. 4,24.9290468,67.1041035
Gulshan-e-Iqbal Block No. 4-A,24.9290468,67.1041035
Gulshan-e-Maymar,25.020894,67.1322813
Gulshan-e-Rufi,24.9103343,67.0716579
Gulshan-e-Saeed Hassan,,
Gulshan-e-Shamim,24.9169379,67.0748454
Gulshan-e-Zia Terminal No. 1,,
Gulshan-e-zia,24.9985418,66.9777236
Gulzar Colony,24.8556768,67.1339467
Gulzar Colony Sector 8-F,,
Guru Mandir,24.88136,67.0380082
Guru Nadir,,
Guru mandir,24.8795684,67.0411743
Gymkhana Club,24.9337323,67.0640026
H.I Rehmatullah Road,,
HB Weather,,
Habbib Bank,,
Habib Bank,24.9095191,67.0500177
Habib Bank Chowrangi,24.9113326,67.014248
Habib Chowrangi,24.850002,67.2073053
Habib bank,24.9095191,67.0500177
Habib mills,24.8941834,66.988998
Habibabad,,
Haji Camp,24.8440461,67.0377769
Haji Camp Road,24.8406155,67.0140056
Haji Jikhria,,
Haji Zakria Goth,,
Haji camp,24.8440461,67.0377769
Haji camp Road,24.8406155,67.0140056
Halipad,,
Hamdard university,25.0853977,67.0078658
Haneef Manzil,,
Harichandrai Road,,
Haroon Banglow,,
Hasan Road,24.8484166,66.9994065
Hasan Square,24.9007046,67.0725224
Hasan square,24.9007046,67.0725224
Hashim Goth,24.9397098,67.2449145
Hassan Square,24.9014648,67.0739031
Hassan square,24.9014648,67.0739031
HassanSquare,,
Hawksbay,24.9003807,66.8399224
Hazrat Bilal Colony,24.8513116,67.1339494
Herchandrai Road,,
Hijaz Dairy Farm,,
Hill Park,24.870432,67.0713521
Holiday Inn Hotel,,
Holy Family Hospital,24.8721154,67.0278646
Hospital Chorangi,,
Hospital Chowrangi,24.8371352,67.2254224
Hospital Road,24.8553579,67.0381246
Hub Dam Colony,25.0012132,67.0358762
Hub Pumping Station,,
Hub River Road,,
Hub dam Road harri masjid,,
Hub river Road,,
Humayun Road,,
Hussain D'Silva,,
Hussain D'Silva Town,,
Hussainabad,24.8852314,67.0590877
Hussaini Sajjadia,,
Hussaini Sajjadia Chowrangi,,
Hyderabad Colony,24.8853926,67.0539685
Hyderi,24.9390175,66.9946574
I.C.I,24.8591785,67.0595314
I.C.I Bridge,,
I.I Chundrigar Road,24.8491113,67.0012571
I.I Cundrigar Road,,
I.I chundrigar Road,24.8491113,67.0012571
ICI Factory,,
Ibrahim,24.9323944,67.0289885
Ibrahim Haidery,24.7851872,67.1428731
Ibrahim Hyder,,
Ibrahim Hyderi,24.797538,67.1358935
Imam Bara,24.8867316,67.046841
Imam Hospital,24.8893656,67.0455284
Industrial Area,24.8875612,67.193538
Ingle Road,24.8519716,67.0202551
Invararity Road,,
Invarity Road,,
Iqbal Market,24.8513455,66.998958
Iqbal Market 11 1/2 Orangi,,
Iqbal S.J Shaheed Road,24.871948,67.026601
Iqbal Shaheed Road,24.8875579,67.0503208
Iqbal Sheed Road,,
Ishaqabad bridgh,,
Islam Chowk,24.9552026,66.9901441
Islam Nagar,24.8733525,67.0143578
Islamia College,24.9631947,67.0763773
Islamia college,24.9631947,67.0763773
Ismiala jamat khana tower,,
Ittefaq Colony Malir,,
Ittehad Colony,24.9263056,66.9640339
Ittehad Town,24.9746492,66.9535385
Ittehad Towwn,,
Jaffer Tayyar Society,24.8841642,67.1996064
Jahangeer Road,,
Jahangir Road,24.8881768,67.0386064
Jail Chowrangi,24.884818,67.0565488
Jail Road,24.8927806,67.0543393
Jail Road Chowrangi,,
Jalendhri Road,,
Jam Goth,24.9854045,67.1058799
Jam Sadiq Ali Bridge,24.832711,67.0904527
Jam saddiq ali bridge,,
Jama Cloth,24.8587824,67.0144873
Jama Cloth Market,24.8587824,67.0144873
Jama Colth,,
Jama Goth,25.0872961,67.0129946
Jama cloth,24.8587824,67.0144873
Jama cloth Market,24.8587824,67.0144873
Jamaluddin Afghani Road,24.8844217,67.0647532
Jamat Khana,24.9137255,67.1010768
Jamila street,24.8676176,67.0119025
Jamshed Road,24.8817322,67.0438308
Jauhar Square,,
Jauhar square,,
Javedan Cement Factory,,
Jehangir Road,24.8614877,67.0280331
Jehangirabad,,
Jet Line,,
Jet Lines,,
Jet lines,,
JetLine,,
Jial Road,,
Jigar muradavadi Road,,
Jinnah Avenue,25.1531022,67.3667636
Jinnah Hospital,24.8517423,67.0471346
Jinnah Mazar,,
Jinnah Square,24.9994855,67.3142443
Jinnah central hospital,,
Jinnah hospital,24.8517423,67.0471346
Jinnah square,24.9965676,67.3159137
JinnahHospiutal,,
Jonijo Town,,
Jouhar Chowrangi,,
Jouhar Square,,
Jubilee Cinema,,
Jubilee cinema,,
Juhar Square,,
Juna Maket,,
Juna Market,24.856877,67.0021881
Jutland Lines,24.8654616,67.0393943
Jutland line,24.8670762,67.0335898
Juuna Market,,
K Area,24.8398374,67.1659474
K.D.A,24.8999988,67.094355
K.D.A Chowrangi,,
K.D.A Civic Centre,,
K.D.A Office,,
K.D.A Pump House,,
K.D.A Site Office,,
K.D.A Site office,,
K.M.C Primary School,,
K.M.C Work Shop,,
K.M.C Workshop,,
K.P.T ground,,
KDA,24.8896835,67.0836475
KDA Flats Sector 14-A,,
KDA Flats Sector 14-B,,
KDA Office,24.9276853,67.0947378
KDA Pump,,
Kachi Memon Society,,
Kadiji,,
Kakri Ground,24.8563007,66.9992906
Kakri Road,24.8598986,66.992386
Kala Board,24.8823269,67.1823277
Kala Pul,24.8503816,67.0536257
Kala Pull,,
Kala School,,
Kala school,,
Kalapul,24.8482773,67.0489213
Kali Market,24.8573086,67.01259
Kalri,24.8696003,66.989002
Kannup Colony,,
Karachi University,24.9437348,67.1206228
Karella Mour,,
Karim Chowrangi,,
Karimabad,24.9195535,67.0556807
Karimabad Chowrangi,,
Karsaz,24.8778199,67.0989711
Karsaz lal kothi,,
Kasba Mour,,
Kashmir Chowrangi,,
Kashmir Road,24.8718697,67.0482177
Kathere,,
Kathore,25.0077205,67.3566338
Katrak Road,24.8591535,67.0252501
Kawari Colony,,
Keamari,24.821889,66.9840531
Keamari K.P.T Ground,,
Keamari Terminal No.2,,
Kearmari,,
Keemari,,
Kemari,24.819949,66.9748366
Kenker,,
Khadda Market,24.8134813,67.049954
Khadda Memon Society,,
Khadda Quarters,,
Khadda quaters,,
Khairabad,24.861042,67.0010066
Khaja jamat khana,,
Khajeer Bazar,,
Khajoor Market,24.8591475,67.0004109
Khaled Bin Walid Road,,
Khalid Bin Waleed Road,24.878868,67.0598122
Khalid Bin Walid Road,24.8782874,67.0592959
Khaliq-e-Saddi,,
Khaliq-us- Zaman Road,,
Khaliq-uz-Zaman Road,,
Khaliquzaman Road,,
Khaliquzzaman Road,,
Kharadar,24.8511574,66.9949796
Kharadar Chowrangi,,
Kharkar Chowrangi,,
Khaskheli Goth,25.1181724,67.1589773
Khatoon-e-Pakistan College,24.8902663,67.0729308
Khawaja Ajmair Nagri,,
Khawaja Ajmeer Nagar,,
Khayaban-e- Shamsheer,24.8095272,67.0443122
Khayaban-e-Attar,,
Khayaban-e-Bahria,24.809963,67.0577563
Khayaban-e-Jami,24.8287803,67.061715
Khayaban-e-Mafia,,
Khayaban-e-Roomi,24.7764307,67.061139
Khayaban-e-Sadi,,
Khayaban-e-Shamsheer,24.8095272,67.0443122
Khayaban-e-Shamsher,,
Khayaban-e-shershah soori Road,,
Khayam No 3,,
Khayam No 4,,
Khayam No 5,,
Khazana,,
Kheja Jamat Khana,,
Khoja Jamat Khana,,
Khoja jamat khana,,
Khokhrapar,24.9040971,67.211932
Khokhrapar No 1,24.9040971,67.211932
Khokhrapar No 2,24.9040971,67.211932
Khokhrapar No 3,24.9040971,67.211932
Khokhrapar No 4,24.9040971,67.211932
Khokhrapar No. 1,24.9040971,67.211932
Khokhrapar No. 4,24.9040971,67.211932
Khokhrapar No. 6,24.9040971,67.211932
Khokrapar No.1 and No. 4,,
Khuaja Ajmeer Nagar,,
Khudadad Colony,24.8774266,67.0463278
Khuwaja Ajmer Nagri,24.9881625,67.0562585
Khyber,24.9247003,67.0195339
Khyber Chowk,24.9653497,66.9594937
Kinara Hotel,,
Kiran Hospital,24.9470857,67.1449134
Korangi,24.8206928,67.1403735
Korangi Area,24.8271755,67.1013089
Korangi Crossing,24.8170248,67.1079526
Korangi Crossing Quyumabad,,
Korangi I-Area,24.8530492,67.187944
Korangi Industrial Area,24.8458157,67.1355012
Korangi Market,24.834274,67.1002395
Korangi Market No. 6,,
Korangi No 1,24.8268189,67.1298134
Korangi No 2,24.8206928,67.1403735
Korangi No 3,24.8206928,67.1403735
Korangi No 4,24.8206928,67.1403735
Korangi No 5,24.8206928,67.1403735
Korangi No 5-1/2,24.8338541,67.1443185
Korangi No 6,24.8206928,67.1403735
Korangi No.,24.8315676,67.1403241
Korangi No. 1,24.8268189,67.1298134
Korangi No. 1 and No. 5,,
Korangi No. 2,24.8206928,67.1403735
Korangi No. 2 1/2,24.8239193,67.1362753
Korangi No. 2-1/2,24.8239193,67.1362753
Korangi No. 3,24.8206928,67.1403735
Korangi No. 4,24.8206928,67.1403735
Korangi No. 5,24.8206928,67.1403735
Korangi No. 5 1/2,24.8250548,67.1461329
Korangi No. 5-1/2,24.8115624,67.1493715
